hand, upcard, stay win, hit doesn't bust, occurances,,,
hard10,2,-19.18%,100.00%,304,,,
hard10,3,-31.91%,100.00%,281,,,
hard10,4,-13.38%,100.00%,304,,,
hard10,5,-13.33%,100.00%,283,,,
hard10,6,-13.77%,100.00%,332,,,
hard10,7,-53.55%,100.00%,299,,,
hard10,8,-57.89%,100.00%,325,,,
hard10,9,-45.98%,100.00%,343,,,
hard10,10,-55.90%,100.00%,1327,,,
hard10,11,-55.17%,100.00%,360,,,
hard11,2,-29.76%,100.00%,336,,,
hard11,3,-29.41%,100.00%,376,,,
hard11,4,-3.95%,100.00%,363,,,
hard11,5,-10.13%,100.00%,331,,,
hard11,6,-5.32%,100.00%,379,,,
hard11,7,-54.32%,100.00%,356,,,
hard11,8,-65.71%,100.00%,379,,,
hard11,9,-54.64%,100.00%,375,,,
hard11,10,-55.76%,100.00%,1573,,,
hard11,11,-57.73%,100.00%,359,,,
hard12,2,-32.48%,71.84%,630,,,
hard12,3,-24.60%,67.60%,695,,,
hard12,4,-19.15%,66.48%,678,,,
hard12,5,-3.72%,68.51%,657,,,
hard12,6,-10.79%,68.95%,694,,,
hard12,7,-52.27%,69.19%,688,,,
hard12,8,-57.18%,67.72%,688,,,
hard12,9,-59.75%,69.45%,665,,,
hard12,10,-60.66%,72.61%,2711,,,
hard12,11,-61.98%,71.63%,740,,,
hard13,2,-24.20%,62.72%,689,,,
hard13,3,-30.29%,66.54%,576,,,
hard13,4,-13.40%,58.05%,650,,,
hard13,5,-13.35%,62.80%,665,,,
hard13,6,-11.04%,59.15%,663,,,
hard13,7,-52.29%,56.44%,653,,,
hard13,8,-49.51%,60.14%,595,,,
hard13,9,-50.97%,64.62%,635,,,
hard13,10,-51.06%,64.58%,2647,,,
hard13,11,-73.78%,62.35%,660,,,
hard14,2,-30.61%,51.39%,582,299.0898,4166.6633,0.544661869
hard14,3,-30.10%,52.41%,579,303.4539,7650,
hard14,4,-24.50%,50.00%,519,259.5,,
hard14,5,-12.08%,55.81%,608,339.3248,,
hard14,6,-6.57%,50.70%,573,290.511,,
hard14,7,-45.87%,55.29%,634,350.5386,,
hard14,8,-45.39%,56.39%,548,309.0172,,
hard14,9,-52.73%,50.68%,624,316.2432,,
hard14,10,-58.59%,57.59%,2386,1374.0974,,
hard14,11,-59.74%,54.42%,597,324.8874,,
hard15,2,-25.77%,46.43%,571,,,
hard15,3,-22.26%,44.29%,563,,,
hard15,4,-22.51%,44.09%,525,,,
hard15,5,-11.57%,52.27%,462,,,
hard15,6,-5.42%,44.67%,568,,,
hard15,7,-51.02%,53.02%,575,,,
hard15,8,-62.01%,47.96%,548,,,
hard15,9,-56.21%,46.45%,588,,,
hard15,10,-55.94%,48.44%,2281,,,
hard15,11,-59.86%,46.94%,588,,,
hard16,2,-35.32%,40.42%,509,,,
hard16,3,-27.97%,43.97%,518,227.7646,2493.1677,0.413597827
hard16,4,-15.92%,36.47%,511,186.3617,6028,
hard16,5,-14.39%,41.50%,517,214.555,,
hard16,6,-15.79%,46.53%,411,191.2383,,
hard16,7,-49.61%,37.93%,490,185.857,,
hard16,8,-53.73%,40.75%,533,217.1975,,
hard16,9,-49.19%,41.20%,532,219.184,,
hard16,10,-56.20%,43.01%,1970,847.297,,
hard16,11,-66.91%,37.31%,546,203.7126,,
hard17,2,-10.57%,31.47%,478,,,
hard17,3,-19.61%,37.07%,514,,,
hard17,4,-0.39%,32.51%,497,,,
hard17,5,-10.22%,27.54%,461,,,
hard17,6,5.39%,31.43%,486,,,
hard17,7,-11.83%,38.07%,383,,,
hard17,8,-33.04%,31.38%,466,,,
hard17,9,-49.13%,36.73%,456,,,
hard17,10,-46.18%,30.67%,1754,,,
hard17,11,-63.79%,28.34%,490,,,
hard18,2,11.37%,27.06%,429,,,
hard18,3,16.38%,20.71%,430,,,
hard18,4,17.70%,22.77%,428,,,
hard18,5,20.53%,26.42%,383,,,
hard18,6,20.24%,22.58%,464,,,
hard18,7,32.21%,26.39%,424,,,
hard18,8,27.33%,28.25%,349,,,
hard18,9,-11.89%,21.33%,396,,,
hard18,10,-20.71%,25.35%,1618,,,
hard18,11,-38.61%,23.53%,423,,,
hard19,2,37.57%,13.76%,378,,,
hard19,3,42.27%,17.24%,368,,,
hard19,4,31.58%,18.09%,370,,,
hard19,5,28.57%,14.38%,328,,,
hard19,6,37.11%,13.27%,390,,,
hard19,7,47.51%,19.10%,380,,,
hard19,8,59.18%,18.63%,400,,,
hard19,9,28.77%,15.13%,298,,,
hard19,10,3.13%,14.81%,1405,,,
hard19,11,-6.67%,9.66%,371,,,
hard20,2,59.60%,6.70%,712,,,
hard20,3,60.84%,7.05%,752,,,
hard20,4,63.73%,6.07%,688,,,
hard20,5,67.87%,7.19%,695,,,
hard20,6,69.23%,9.34%,715,,,
hard20,7,74.81%,5.22%,772,,,
hard20,8,78.22%,7.63%,748,,,
hard20,9,71.35%,6.31%,745,,,
hard20,10,45.30%,9.54%,2451,,,
hard20,11,15.21%,6.34%,702,,,
hard4,2,-25.00%,100.00%,19,,,
hard4,3,-33.33%,100.00%,27,,,
hard4,4,-36.36%,100.00%,39,,,
hard4,5,-6.67%,100.00%,32,,,
hard4,6,-4.35%,100.00%,46,,,
hard4,7,-46.67%,100.00%,31,,,
hard4,8,-50.00%,100.00%,34,,,
hard4,9,-63.64%,100.00%,37,,,
hard4,10,-49.33%,100.00%,146,,,
hard4,11,-37.50%,100.00%,30,,,
hard5,2,-39.53%,100.00%,79,,,
hard5,3,-56.76%,100.00%,82,,,
hard5,4,-26.32%,100.00%,113,,,
hard5,5,-13.73%,100.00%,90,,,
hard5,6,-16.98%,100.00%,113,,,
hard5,7,-54.17%,100.00%,87,,,
hard5,8,-54.17%,100.00%,85,,,
hard5,9,-49.02%,100.00%,85,,,
hard5,10,-59.57%,100.00%,381,,,
hard5,11,-69.57%,100.00%,100,,,
hard6,2,-32.20%,100.00%,131,,,
hard6,3,-38.24%,100.00%,132,,,
hard6,4,-10.14%,100.00%,133,,,
hard6,5,-18.92%,100.00%,149,,,
hard6,6,-22.22%,100.00%,144,,,
hard6,7,-44.12%,100.00%,132,,,
hard6,8,-52.54%,100.00%,127,,,
hard6,9,-55.56%,100.00%,143,,,
hard6,10,-62.18%,100.00%,522,,,
hard6,11,-45.45%,100.00%,133,,,
hard7,2,-6.12%,100.00%,177,,,
hard7,3,-26.09%,100.00%,159,,,
hard7,4,-35.06%,100.00%,163,,,
hard7,5,1.20%,100.00%,172,,,
hard7,6,-17.65%,100.00%,192,,,
hard7,7,-46.99%,100.00%,181,,,
hard7,8,-56.63%,100.00%,189,,,
hard7,9,-58.24%,100.00%,202,,,
hard7,10,-53.23%,100.00%,782,,,
hard7,11,-67.01%,100.00%,194,,,
hard8,2,-35.35%,100.00%,218,,,
hard8,3,-38.33%,100.00%,219,,,
hard8,4,-11.76%,100.00%,197,,,
hard8,5,3.16%,100.00%,207,,,
hard8,6,1.20%,100.00%,173,,,
hard8,7,-50.00%,100.00%,234,,,
hard8,8,-47.66%,100.00%,224,,,
hard8,9,-43.33%,100.00%,251,,,
hard8,10,-55.21%,100.00%,868,,,
hard8,11,-54.39%,100.00%,226,,,
hard9,2,-28.38%,100.00%,286,,,
hard9,3,-15.25%,100.00%,266,,,
hard9,4,-2.90%,100.00%,285,,,
hard9,5,-9.86%,100.00%,263,,,
hard9,6,-20.26%,100.00%,285,,,
hard9,7,-45.86%,100.00%,270,,,
hard9,8,-54.97%,100.00%,305,,,
hard9,9,-51.47%,100.00%,295,,,
hard9,10,-58.95%,100.00%,1209,,,
hard9,11,-65.71%,100.00%,303,,,
soft13,2,0.00%,100.00%,77,,,
soft13,3,-37.04%,100.00%,107,,,
soft13,4,-16.28%,100.00%,86,,,
soft13,5,-40.62%,100.00%,105,,,
soft13,6,-17.95%,100.00%,86,,,
soft13,7,-40.74%,100.00%,100,,,
soft13,8,-23.08%,100.00%,102,,,
soft13,9,-64.29%,100.00%,102,,,
soft13,10,-64.82%,100.00%,384,,,
soft13,11,-77.78%,100.00%,64,,,
soft14,2,-37.25%,100.00%,102,,,
soft14,3,-47.06%,100.00%,75,,,
soft14,4,0.00%,100.00%,106,,,
soft14,5,21.74%,100.00%,96,,,
soft14,6,-5.08%,100.00%,98,,,
soft14,7,-41.82%,100.00%,113,,,
soft14,8,-55.56%,100.00%,95,,,
soft14,9,-46.94%,100.00%,100,,,
soft14,10,-53.51%,100.00%,352,,,
soft14,11,-75.00%,100.00%,71,,,
soft15,2,-24.53%,100.00%,93,,,
soft15,3,0.00%,100.00%,89,,,
soft15,4,-29.03%,100.00%,61,,,
soft15,5,-10.00%,100.00%,104,,,
soft15,6,-13.04%,100.00%,108,,,
soft15,7,-62.79%,100.00%,86,,,
soft15,8,-72.00%,100.00%,99,,,
soft15,9,-73.08%,100.00%,104,,,
soft15,10,-60.85%,100.00%,423,,,
soft15,11,-80.00%,100.00%,73,,,
soft16,2,-36.84%,100.00%,105,,,
soft16,3,-24.32%,100.00%,93,,,
soft16,4,-16.67%,100.00%,87,,,
soft16,5,-15.00%,100.00%,71,,,
soft16,6,-8.70%,100.00%,93,,,
soft16,7,-21.95%,100.00%,105,,,
soft16,8,-13.64%,100.00%,85,,,
soft16,9,-40.00%,100.00%,108,,,
soft16,10,-57.58%,100.00%,385,,,
soft16,11,-63.64%,100.00%,84,,,
soft17,2,-1.64%,100.00%,99,,,
soft17,3,-12.96%,100.00%,103,,,
soft17,4,13.95%,100.00%,92,,,
soft17,5,-3.51%,100.00%,99,,,
soft17,6,0.00%,100.00%,61,,,
soft17,7,-35.56%,100.00%,94,,,
soft17,8,-30.36%,100.00%,101,,,
soft17,9,-63.64%,100.00%,85,,,
soft17,10,-48.48%,100.00%,345,,,
soft17,11,-73.33%,100.00%,88,,,
soft18,2,0.00%,100.00%,75,,,
soft18,3,18.75%,100.00%,103,,,
soft18,4,7.69%,100.00%,93,,,
soft18,5,15.09%,100.00%,99,,,
soft18,6,9.68%,100.00%,114,,,
soft18,7,17.24%,100.00%,57,,,
soft18,8,16.28%,100.00%,95,,,
soft18,9,-23.91%,100.00%,109,,,
soft18,10,-26.15%,100.00%,412,,,
soft18,11,-40.91%,100.00%,83,,,
soft19,2,50.00%,100.00%,79,,,
soft19,3,28.00%,100.00%,92,,,
soft19,4,34.69%,100.00%,105,,,
soft19,5,30.91%,100.00%,112,,,
soft19,6,44.12%,100.00%,76,,,
soft19,7,52.50%,100.00%,83,,,
soft19,8,60.00%,100.00%,82,,,
soft19,9,29.27%,100.00%,90,,,
soft19,10,3.48%,100.00%,405,,,
soft19,11,-13.64%,100.00%,76,,,
soft20,2,61.36%,100.00%,100,,,
soft20,3,56.25%,100.00%,94,,,
soft20,4,72.55%,100.00%,108,,,
soft20,5,66.67%,100.00%,87,,,
soft20,6,72.22%,100.00%,100,,,
soft20,7,76.60%,100.00%,94,,,
soft20,8,78.26%,100.00%,91,,,
soft20,9,75.76%,100.00%,77,,,
soft20,10,37.50%,100.00%,375,,,
soft20,11,-11.11%,100.00%,82,,,