hard4,  h, h, h, h, h, h, h, h, h, h
hard5,  h, h, h, h, h, h, h, h, h, h
hard6,  h, h, h, h, h, h, h, h, h, h
hard7,  h, h, h, h, h, h, h, h, h, h
hard8,  h, h, h, h, h, h, h, h, h, h
hard9,  h, h, d, d, d, d, h, h, h, h
hard10, h, d, d, d, d, d, d, d, d, h
hard11, h, d, d, d, d, d, d, d, d, d
hard12, h, h, h, s, s, s, h, h, h, h
hard13, h, s, s, s, s, s, h, h, h, h
hard14, h, s, s, s, s, s, h, h, h, h
hard15, h, s, s, s, s, s, h, h, h, h
hard16, h, s, s, s, s, s, h, h, h, h
hard17, s, s, s, s, s, s, s, s, s, s
hard18, s, s, s, s, s, s, s, s, s, s
hard19, s, s, s, s, s, s, s, s, s, s
hard20, s, s, s, s, s, s, s, s, s, s
hard21, s, s, s, s, s, s, s, s, s, s
soft13,  h, h, h, h, d, d, h, h, h, h
soft14,  h, h, h, h, d, d, h, h, h, h
soft15,  h, h, h, d, d, d, h, h, h, h
soft16,  h, h, h, d, d, d, h, h, h, h
soft17,  h, h, d, d, d, d, h, h, h, h
soft18,  h, ds, ds, ds, ds, ds, s, s, h, h
soft19,  s, s, s, s, s, ds, s, s, s, s
soft20,  s, s, s, s, s, s, s, s, s, s
21, B, B, B, B, B, B, B, B, B, B
pairA,  p, p, p, p, p, p, p, p, p, p
pair2,  h, p, p, p, p, p, p, h, h, h
pair3,  h, p, p, p, p, p, p, h, h, h
pair4,  h, h, h, h, p, p, h, h, h, h
pair5,  h, d, d, d, d, d, d, d, d, h
pair6,  h, p, p, p, p, p, h, h, h, h
pair7,  h, p, p, p, p, p, p, h, h, h
pair8,  p, p, p, p, p, p, p, p, p, p
pair9,  s, p, p, p, p, p, s, p, p, s
pair10, s, s, s, s, s, s, s, s, s, s